,Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: Hematoxylin OD mean,Nucleus: Hematoxylin OD sum,Nucleus: Hematoxylin OD std dev,Nucleus: Hematoxylin OD max,Nucleus: Hematoxylin OD min,Nucleus: Hematoxylin OD range,Nucleus: Eosin OD mean,Nucleus: Eosin OD sum,Nucleus: Eosin OD std dev,Nucleus: Eosin OD max,Nucleus: Eosin OD min,Nucleus: Eosin OD range
69,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,ac313f67-957e-4b2d-a700-ff6abdf1845c,Cell,,,Annotation,Polygon,7007.0,2111.0,38.75,28.5197,0.5987,9.764,6.3683,0.7935,0.7912,127.3775,0.1224,1.0795,0.3505,0.7289,0.5155,82.9917,0.1577,0.8367,-0.067,0.9037
234,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,665785d3-e06d-445f-9f11-659c7d4f05cd,Cell,,,Annotation,Polygon,6926.4,2155.7,42.75,29.5901,0.6136,10.435,6.7555,0.7616,0.795,136.7456,0.1682,1.2631,0.3857,0.8774,0.4759,81.8607,0.1984,0.9115,-0.2009,1.1124
334,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,ff62cf09-f28a-4050-86f2-bba80811b254,Cell,,,Annotation,Polygon,7011.0,2181.8,42.75,27.4674,0.7121,10.3832,5.82,0.8594,0.8547,148.7129,0.1557,1.3234,0.3688,0.9546,0.5486,95.4627,0.2083,1.0336,-0.1952,1.2288
351,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,5f6cb157-6dc9-48fc-a67f-9a7b5ed599bc,Cell,,,Annotation,Polygon,6898.1,2186.0,44.75,28.2895,0.7027,11.854,5.6924,0.907,0.8418,153.2039,0.1548,1.2688,0.3933,0.8754,0.5331,97.0282,0.1648,0.8517,-0.0364,0.8881
364,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,05eeec53-fe0c-4aa6-921c-d5bd0fe0c74e,Cell,,,Annotation,Polygon,6985.9,2188.4,40.5,32.3913,0.4851,9.304,8.2968,0.5122,0.7741,126.9508,0.1724,1.1637,0.208,0.9557,0.4819,79.028,0.1749,0.8531,-0.1026,0.9557
424,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,ea8102a5-22f8-4330-8b4f-d51a977c53f9,Cell,,,Annotation,Polygon,6837.7,2201.5,48.0,27.2528,0.8121,10.3606,5.7237,0.8279,0.8171,160.9754,0.1284,1.1138,0.4137,0.7,0.5684,111.9695,0.1154,0.9297,0.1316,0.7981
631,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,378a4640-81d3-45e3-bf02-08822178246e,Cell,,,Annotation,Polygon,7222.2,2235.3,45.25,32.0992,0.5519,13.6149,4.8263,0.9438,0.7788,144.0725,0.1125,0.9969,0.3614,0.6354,0.4386,81.1397,0.1624,0.8182,-0.1077,0.9259
700,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,d96211c5-042d-4edd-86cb-a546db698d12,Cell,,,Annotation,Polygon,7284.8,2246.3,45.25,26.6618,0.7999,9.6138,6.6687,0.7464,0.8276,154.7558,0.1913,1.1741,0.3675,0.8066,0.5722,107.0028,0.1445,0.8527,0.0404,0.8123
770,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,660c4a58-0626-407e-abce-bf8ed7509fac,Cell,,,Annotation,Polygon,6907.3,2256.8,54.25,37.5223,0.4842,13.6175,6.8444,0.8911,0.7553,164.6457,0.1835,1.2065,0.2023,1.0041,0.5141,112.064,0.1775,0.8896,-0.1165,1.0061
917,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,97fc0ae1-3e6e-4a40-86fa-06c380a760c9,Cell,,,Annotation,Polygon,6960.0,2277.7,60.25,37.5614,0.5366,15.5182,5.6817,0.9515,0.8833,214.6314,0.1957,1.5529,0.406,1.1469,0.5548,134.8064,0.2859,1.0763,-0.4307,1.507
964,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,9bff4125-aa63-4a76-ba70-2898a4288fcd,Cell,,,Annotation,Polygon,6709.0,2285.4,60.5,48.0461,0.3293,13.6708,8.9411,0.6023,0.8189,201.4425,0.2414,1.5309,0.0772,1.4537,0.4755,116.9737,0.2083,0.9173,-0.2461,1.1635
1025,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,0259f52a-7e04-4a8b-b6d9-64c7bcb14655,Cell,,,Annotation,Polygon,6855.7,2288.5,62.25,35.3493,0.626,12.3543,8.2858,0.6969,0.9371,235.2119,0.1847,1.317,0.3072,1.0098,0.6071,152.375,0.1946,1.0196,-0.1155,1.1351
1088,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,03933c8a-873f-449c-951b-62909bdee011,Cell,,,Annotation,Polygon,6850.0,2299.9,45.5,34.3207,0.4854,13.7852,5.654,0.9501,0.8526,159.4326,0.2645,1.5519,0.1536,1.3984,0.5222,97.6603,0.1609,0.8667,-0.1617,1.0284
1282,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,e82698de-f3bf-4e08-8128-5c5491674619,Cell,,,Annotation,Polygon,7304.8,2321.2,39.25,25.9958,0.7299,10.0832,5.8129,0.8567,0.7704,124.7976,0.21,1.2155,0.2722,0.9432,0.5235,84.8021,0.15,0.8427,0.1191,0.7235
1345,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,9702a61e-e0bd-491f-9447-f8efc7250cc9,Cell,,,Annotation,Polygon,7071.4,2326.5,46.5,27.6852,0.7624,11.2047,5.665,0.8677,0.8194,154.0422,0.1664,1.159,0.3264,0.8326,0.5887,110.6672,0.1919,0.942,-0.0108,0.9528
1411,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,e156e9b1-b6c9-4fb2-8042-300912be5ec1,Cell,,,Annotation,Polygon,7032.7,2337.5,53.75,32.6507,0.6336,13.2843,6.299,0.849,0.8954,194.2926,0.2028,1.3507,0.2705,1.0803,0.6554,142.2114,0.1525,1.3566,0.1119,1.2447
1422,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,975be080-de4d-4cdc-9e1f-8c8a498ff26b,Cell,,,Annotation,Polygon,7204.4,2338.6,45.75,26.7662,0.8025,9.2205,7.2464,0.6175,0.9109,169.4263,0.1964,1.5355,0.3656,1.1699,0.57,106.0146,0.2832,1.0418,-0.2191,1.2609
1551,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,151cef31-cf1d-4bd8-be76-5cf3428637c9,Cell,,,Annotation,Polygon,7161.3,2354.5,40.0,25.72,0.7599,8.9253,6.552,0.7318,0.7608,123.2545,0.1702,1.1052,0.4065,0.6987,0.5267,85.3206,0.2141,0.8151,-0.1193,0.9344
1626,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,afa581d6-cc12-47dd-b26a-a5f255b0d592,Cell,,,Annotation,Polygon,7052.8,2363.5,56.0,33.6517,0.6214,12.8231,5.8901,0.8999,0.8633,197.6908,0.2241,1.4524,0.0845,1.3678,0.5259,120.4273,0.2253,0.9574,-0.1334,1.0908
1699,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,de8c932a-0fa4-4f53-9edb-1056da9eb16b,Cell,,,Annotation,Polygon,7149.4,2370.6,52.75,30.8128,0.6982,10.4127,7.3477,0.7116,0.7995,170.2928,0.237,1.2901,0.1764,1.1137,0.5074,108.068,0.1426,0.7981,-0.0474,0.8455
1702,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,20085a9c-3622-4aac-ba3d-f3cfb7472830,Cell,,,Annotation,Polygon,7438.6,2368.9,42.75,27.8302,0.6936,9.8343,6.3948,0.8179,0.8268,143.8639,0.1982,1.306,0.3593,0.9467,0.4552,79.1978,0.2265,0.854,-0.2312,1.0852
1760,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,f6672527-8b37-40e6-a257-5f18432fb78f,Cell,,,Annotation,Polygon,7238.6,2375.2,43.5,29.085,0.6462,9.9044,6.5781,0.7828,0.8172,147.0979,0.157,1.2855,0.3902,0.8952,0.4551,81.9132,0.2787,0.9017,-0.4622,1.3639
1807,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,64035224-e69e-42cd-bc1a-99833e739c98,Cell,,,Annotation,Polygon,6928.5,2384.3,64.5,33.8377,0.7079,13.0274,7.4779,0.7606,1.124,291.1222,0.1962,1.6358,0.6117,1.0241,0.7861,203.6059,0.1273,1.1267,0.3945,0.7322
1905,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,81a2cd27-6faf-4afc-b612-6dc0d2263e78,Cell,,,Annotation,Polygon,7298.5,2391.4,55.0,34.7986,0.5708,14.0129,5.7264,0.9394,0.7923,176.6871,0.1658,1.1236,0.3097,0.8139,0.5364,119.6194,0.1724,0.8989,-0.1079,1.0068
1980,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,59a771ea-f80b-4aaf-bfc8-090c8a3f0f28,Cell,,,Annotation,Polygon,6938.4,2401.3,39.5,24.401,0.8337,9.4765,6.0469,0.7884,0.7922,129.1278,0.1435,1.1912,0.4078,0.7835,0.5261,85.7582,0.174,0.8612,-0.0844,0.9456
1997,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,4951e232-2c52-4154-a3ac-bb69b2ffad97,Cell,,,Annotation,Polygon,7444.0,2401.9,53.5,36.9065,0.4936,12.0282,8.6623,0.5949,0.8078,176.9169,0.2334,1.3437,0.0942,1.2495,0.3928,86.0193,0.1704,0.7185,-0.2363,0.9548
2016,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,60c77855-a276-4e89-bc21-166ffe7b54fd,Cell,,,Annotation,Polygon,7189.3,2402.1,51.0,27.1135,0.8718,10.0024,6.3957,0.7799,0.805,167.4356,0.1727,1.1855,0.3646,0.8209,0.5466,113.6914,0.1755,0.9817,0.1304,0.8513
2125,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,d4714d78-d758-4e43-ada3-38f6bb902dd6,Cell,,,Annotation,Polygon,7038.3,2415.0,43.75,25.7458,0.8294,10.1937,5.634,0.832,0.8503,151.3545,0.1784,1.3126,0.3378,0.9748,0.6271,111.6282,0.1487,0.9856,0.2538,0.7318
2149,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,2a2aa0de-63ec-41bc-b5a8-8fabd4380972,Cell,,,Annotation,Polygon,6954.0,2420.6,45.5,27.0279,0.7827,10.7099,6.6405,0.7831,0.9685,179.1773,0.2441,1.6465,0.273,1.3735,0.567,104.8961,0.3628,1.4475,-0.4904,1.9379
2333,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,3df8dfd6-ea09-4550-82cf-b0cc2c32b110,Cell,,,Annotation,Polygon,6752.3,2438.3,47.5,27.78,0.7735,9.7673,6.7907,0.6951,0.75,144.7514,0.1257,1.0154,0.3171,0.6983,0.4988,96.2648,0.216,0.7311,-0.3112,1.0424
2371,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,8b2b3c14-1527-451e-9d3d-1b3f01cb6740,Cell,,,Annotation,Polygon,7069.8,2441.1,39.0,23.0592,0.9217,7.836,6.4374,0.5355,0.7713,125.7264,0.2107,1.5873,0.3331,1.2542,0.5047,82.2667,0.2659,0.973,-0.3922,1.3652
2411,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,c460fcb0-c1db-40d4-aeac-7169f5be8340,Cell,,,Annotation,Polygon,6870.2,2444.9,40.5,23.2874,0.9385,8.0421,6.7082,0.5145,0.8942,146.6496,0.1607,1.1876,0.3129,0.8747,0.6199,101.6684,0.1887,0.9548,-0.0541,1.0089
2575,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,b3f6cb97-0d8e-4e21-977a-11e4f1652079,Cell,,,Annotation,Polygon,6962.8,2461.3,45.75,26.5003,0.8187,10.0984,6.8947,0.761,0.8165,150.2277,0.1717,1.2108,0.2663,0.9445,0.5533,101.8157,0.1875,0.9254,-0.0859,1.0113
2752,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,f2710677-7a57-4765-99e0-56c956bf2256,Cell,,,Annotation,Polygon,6976.6,2482.4,63.25,34.9127,0.6521,13.6721,6.6209,0.8999,0.9238,238.3527,0.1847,1.2868,0.3997,0.8871,0.6348,163.7906,0.2129,0.9638,-0.1745,1.1382
2966,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,8bc300dd-ef4a-4504-aa4b-c92a14d9e868,Cell,,,Annotation,Polygon,6925.9,2511.9,46.5,27.2141,0.789,9.6564,6.337,0.6928,0.8899,169.9728,0.1633,1.3433,0.4416,0.9016,0.5328,101.7649,0.2053,0.9163,-0.0779,0.9942
3115,TCGA-C8-A27A-01Z-00-DX1.0E26C46D-CD65-40F3-8976-EB4415582934.svs,17afdb74-9a2f-48c7-bc93-4677b45f19d7,Cell,,,Annotation,Polygon,6976.5,2532.2,46.5,28.073,0.7415,8.9728,7.7262,0.5934,0.7832,148.0267,0.1684,1.2711,0.407,0.8641,0.5173,97.7738,0.2353,0.8322,-0.4002,1.2324
